first_name,last_name,your_school,purchased_school,your_position,purchased_position
Sean,Hammonds,Stony Brook,SUNY Stony Brook University,Defensive Line Coach/Defensive Recruiting Coordinator,"Recruiting Coordinator (Defense), Assistant Coach (Defensive Line)"
Scott,Lewis,Stony Brook,SUNY Stony Brook University,Defensive Coordinator/Inside Linebackers Coach,"Assistant Coach (Defensive Coordinator, Inside Linebackers)"
Adam,Lovan,Stony Brook,SUNY Stony Brook University,Quarterbacks Coach/Offensive Recruiting Coordinator,"Recruiting Coordinator (Offense), Assistant Coach (Quarterbacks)"
Steve,Martino,Stony Brook,SUNY Stony Brook University,Tight Ends Coach/Run Game Coordinator,"Assistant Coach (Tight Ends, Running-Game Coordinator)"
Damian,Mincey,Stony Brook,SUNY Stony Brook University,Running Backs Coach,Assistant Coach (Running Backs)
Jim,Nelson,Stony Brook,SUNY Stony Brook University,Safeties Coach,Assistant Coach (Safeties)
Matt,Oehl,Stony Brook,SUNY Stony Brook University,Recruiting Coordinator/Director of Player Personnel,"Recruiting Coordinator, Director of Player Personnel"
Ryan,Bitka,UAlbany,SUNY University at Albany,Offensive Quality Control,Assistant Coach (Offense)
Chris,Calabrese,UAlbany,SUNY University at Albany,Defensive Line Coach / Player Personnel / Pro Liaison,"Director of Player Personnel, Assistant Coach (Outside Linebackers, Defensive Ends), Pro Liaison"
Will,Fiacchi,UAlbany,SUNY University at Albany,Wide Receivers Coach,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Karl,Mofor,UAlbany,Western Illinois University,Running Backs Coach,Assistant Coach (Running Backs)
Jordan,Orlovsky,UAlbany,SUNY University at Albany,Chief of Staff / Director of Operations / Recruiting Coordinator,"Assistant Coach (Running Backs, Special Teams)"
Sean,Pearson,UAlbany,Bucknell University,Offensive Line Coach,Assistant Coach (Offensive Line)
Jack,Armstrong,William & Mary,College of William & Mary,Offensive Line Coach/Run Game Coordinator,"Assistant Coach (Offensive Line, Running-Game Coordinator)"
Darryl,Blackstock,William & Mary,College of William & Mary,Special Teams Coordinator/Outside Linebackers Coach,"Assistant Coach (Outside Linebackers, Special Teams)"
Keenan,Carter,William & Mary,College of William & Mary,Defensive Line Coach/Recruiting Coordinator,"Recruiting Coordinator, Assistant Coach (Defensive Line)"
Ras-I,Dowling,William & Mary,College of William & Mary,Co-Defensive Coordinator/Secondary Coach,"Assistant Coach (Co-Defensive Coordinator, Defensive Backs)"
Kevin,Jarrell,William & Mary,College of William & Mary,Outside Linebackers/Nickels Coach,"Assistant Coach (Outside Linebackers, Nickelbacks)"
Perry,Jones,William & Mary,College of William & Mary,Running Backs Coach/Video Coordinator,Assistant Coach (Running Backs)
Mike,London,William & Mary,College of William & Mary,Head Coach,Head Coach
Winston,October,William & Mary,College of William & Mary,Offensive Coordinator/Wide Receivers Coach,"Assistant Coach (Offensive Coordinator, Wide Receivers)"
Bryan,Randall,William & Mary,College of William & Mary,Quarterbacks Coach,Assistant Coach (Quarterbacks)
Bo,Revell,William & Mary,College of William & Mary,Co-Defensive Coordinator/Inside Linebackers Coach,"Assistant Coach (Co-Defensive Coordinator, Inside Linebackers)"
Charles,Huff,Fayetteville State,University of Memphis,Defensive Line,Head Coach
James,Adams,Virginia Union,Michigan State University,Offensive Coordinator/Quarterbacks,Assistant Coach (Safeties)
Torrian,Gray,Virginia Union,University of South Carolina,Defensive Coordinator,"Assistant Coach (Defensive Backs, Defensive Passing-Game Coordinator)"
Anthony,Johnson,Virginia Union,University of Nebraska,Special Teams Coordinator,Recruiting Coordinator
David,Johnson,Winston-Salem State,University of Arkansas,Offensive Coordinator/Quarterbacks,Assistant Coach (Running Backs)
Adam,Ross,Jacksonville State,Murray State University,Offensive Line,"Assistant Coach (Co-Offensive Coordinator, Offensive Line)"
Dylan,Barnett,Middle Tennessee,Middle Tennessee State University,Offensive Quality Control,Assistant Coach (Interim Offensive Line)
Christopher,Browne,Middle Tennessee,Middle Tennessee State University,Offensive Line,Assistant Coach (Offensive Line)
Louie,Cioffi,Middle Tennessee,Middle Tennessee State University,Co-Special Teams Coordinator,Assistant Coach (Co-Special Teams)
Coley,Crowley,Middle Tennessee,Middle Tennessee State University,Inside Receivers,Assistant Coach (Wide Receivers)
Joe,Ganz,Middle Tennessee,Middle Tennessee State University,Quarterbacks,Assistant Coach (Tight Ends)
Bryce,Lewis,Middle Tennessee,Middle Tennessee State University,Secondary,Assistant Coach (Defensive Backs)
Calvin,Lowry,Middle Tennessee,Middle Tennessee State University,Outside Receivers,"Assistant Coach (Running Backs, Running-Game Coordinator)"
Derek,Mason,Middle Tennessee,Middle Tennessee State University,Head Coach,Head Coach
Tyler,Monaco,Middle Tennessee,Middle Tennessee State University,Offensive GA,Graduate Assistant (Offense)
A.J.,Reisig,Middle Tennessee,Middle Tennessee State University,Linebackers,Assistant Coach (Linebackers)
Anthony,Scelfo,Middle Tennessee,Middle Tennessee State University,Offensive Coordinator,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Brian,Stewart,Middle Tennessee,Middle Tennessee State University,Asst. Head Coach/Defensive Coordinator,Assistant Head Coach (Defensive Coordinator)
Josh,Wegrzyn,Middle Tennessee,Middle Tennessee State University,Defensive GA,Graduate Assistant (Defense)
John,Bonney,Missouri State,Southern Methodist University,Assistant Coach Defense,Assistant Coach (Safeties)
Mark,Cala,Missouri State,University of Texas - El Paso,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Tyler,Foster,Missouri State,Southern Methodist University,Assistant Coach Offense,Assistant Coach (Running Backs)
Sam,Hullender,Missouri State,Southern Methodist University,Assistant Coach Offense,Assistant Coach (Quarterbacks)
Brett,Kulka,Missouri State,Auburn University,Assistant Coach Defense,Assistant Coach (Defensive Line)
